1;Seattle;1
2;Tijeras;2
3;Albuquerque;2
4;Santa Fe;2
5;Rio Rancho;2
6;Grovetown;3
7;Evans;3
8;Augusta;3
9;Beech Island;4
10;East Point;3
11;Atlanta;3
12;Doraville;3
13;Grayson;3
14;Tampa;5
15;Fairburn;3
16;College Park;3
17;Lawrenceville;3
18;Duluth;3
19;Douglasville;3
20;Snellville;3
21;Decatur;3
22;Alpharetta;3
23;Peachtree Corners;3
24;Alpine;24
25;Marietta;3
26;Kennesaw;3
27;Peachtree City;3
28;Woodstock;3
29;Mableton;3
30;Bremen;3
31;Newnan;3
32;Lithonia;3
33;Conyers;3
34;Stone Mountain;3
35;Norcross;3
36;Lithia Springs;3
37;Dunwoody;3
38;Sandy Springs;3
39;Sugar Hill;3
40;Stockbridge;3
41;Suwanee;3
42;Powder Springs;3
43;Apple Valley;36
44;McDonough;3
45;Marietta ;3
46;Stonecrest;3
47;Snellville ;3
48;Austin;6
49;Del Valle;6
50;Manor;6
51;Cedar Park;6
52;Round Rock;6
53;Leander;6
54;Lakeway;6
55;Bastrop;6
56;Buda;6
57;Liberty Hill;6
58;Waco;6
59;Dripping Springs;6
60;Pflugerville;6
61;Kyle;6
62;Arden;7
63;Barnardsville;7
64;Asheville;7
65;Black Mountain;7
66;Whittier;7
67;Arlington;22
68;Bristol;8
69;Windsor;8
70;Vernon;8
71;Glastonbury;8
72;Wallingford;8
73;Cromwell;8
74;New Britain;8
75;East Hartford;8
76;Avon;20
77;North Haven;8
78;Issaquah;1
79;Edmonds;1
80;Kent;1
81;Olympia;1
82;Redmond;1
83;Kirkland;1
84;Bothell;1
85;Bangor;10
86;Irondale;11
87;Birmingham;11
88;Hoover;11
89;Oxford;11
90;Vestavia Hills;11
91;Billings;12
92;Nashville;13
93;goodlettsville;13
94;Dickson;13
95;Brentwood;13
96;La Vergne;13
97;Spring Hill;13
98;Hendersonville;13
99;Murfreesboro;13
100;Mount Juliet;13
101;Nolensville;13
102;White House;13
103;Madisonville;14
104;Clarksville;13
105;Boise;15
106;Meridian;15
107;Orem;16
108;Pocatello;15
109;Linthicum Heights;17
110;Glen Burnie;17
111;Ellicott City;17
112;Baltimore;17
113;Bartlett;13
114;Ijamsville;17
115;Severn;17
116;Elkridge;17
117;Milford Mill;17
118;Randallstown;17
119;Frederick;17
120;Belcamp;17
121;Washington;18
122;Fort Meade;17
123;Reisterstown;17
124;Pikesville;17
125;Odenton;17
126;beltsville;17
127;Laurel;17
128;Catonsville;17
129;Bowie;17
130;Towson;17
131;District Heights;17
132;Gaithersburg;17
133;Cockeysville;17
134;Bedford;6
135;Cayce;4
136;Irmo;4
137;Chattanooga;13
138;Signal Mountain;13
139;Bellevue;38
140;Charleston;4
141;Summerville;4
142;North Charleston;4
143;Goose Creek;4
144;Mount Pleasant;4
145;Hanahan;4
146;Mount Vernon;19
147;North Liberty;19
148;South Euclid;20
149;Parma;20
150;Richfield;20
151;Brunswick;20
152;Brighton;21
