Model X;Tesla;suv
Prius;Toyota;car
Mustang;Ford;car
Sebring;Chrysler;car
GL-Class;Mercedes-Benz;suv
Yukon XL;GMC;suv
Expedition;Ford;suv
Focus RS;Ford;car
EcoSport;Ford;suv
F-150;Ford;truck
Tiguan;Volkswagen;suv
Avalon Hybrid;Toyota;car
CV Tradesman;Ram;minivan
Cherokee;Jeep;suv
Cayman;Porsche;car
Wrangler JK;Jeep;suv
Explorer;Ford;suv
Rogue;Nissan;suv
Model S;Tesla;car
Charger;Dodge;car
Jetta;Volkswagen;car
Sonata;Hyundai;car
Impala;Chevrolet;car
Accent;Hyundai;car
Focus;Ford;car
Sequoia;Toyota;suv
GLC-Class;Mercedes-Benz;suv
Fiesta;Ford;car
Journey;Dodge;suv
ES 300h;Lexus;car
ATS;Cadillac;car
IS 350;Lexus;car
fortwo;smart;car
Range Rover;Land Rover;suv
Model 3;Tesla;car
718 Boxster;Porsche;car
S-Class;Mercedes-Benz;car
7 Series;BMW;car
C-Class;Mercedes-benz;car
4 Series;BMW;car
Panamera;Porsche;car
GLA-Class;Mercedes-Benz;suv
MDX;Acura;suv
Corvette Stingray;Chevrolet;car
A8;Audi;car
Altima;Nissan;car
A7;Audi;car
RS 7;Audi;car
Grand Caravan;Dodge;minivan
XJ;Jaguar;car
Corvette;Chevrolet;car
Camaro;Chevrolet;car
Range Rover Sport;Land Rover;suv
Quattroporte;Maserati;car
Q50;INFINITI;car
Boxster;Porsche;car
Cayenne;Porsche;suv
EX35;Infiniti;suv
E-Class;Mercedes-Benz;car
CX-5;Mazda;suv
Z4;BMW;car
Range Rover Evoque;Land Rover;suv
X4;BMW;suv
QX60;Infiniti;suv
6 Series Gran Coupe;BMW;car
M4;BMW;car
Ghibli;Maserati;car
5 Series;BMW;car
i8;BMW;car
AMG GT;Mercedes-Benz;car
Arteon;Volkswagen;car
X6;BMW;suv
SLK-Class;Mercedes-Benz;car
Range Rover Velar;Land Rover;suv
Continental GT;Bentley;car
718 Cayman;Porsche;car
F-TYPE;Jaguar;car
TTS;Audi;car
Yukon;GMC;suv
Suburban;Chevrolet;suv
Corolla;Toyota;car
Mirage;Mitsubishi;car
IS 200t;Lexus;car
Versa;Nissan;car
Challenger;Dodge;car
Q7;Audi;suv
Rio;Kia;car
New Beetle;Volkswagen;car
Silverado 1500;Chevrolet;truck
Optima;Kia;car
Macan;Porsche;suv
Sorento;Kia;suv
Wrangler;Jeep;suv
IS;Lexus;car
Versa Note;Nissan;car
CLS-Class;Mercedes-Benz;car
Soul;Kia;car
Passat;Volkswagen;car
Elantra;Hyundai;car
Grand Cherokee;Jeep;suv
Cooper;MINI;car
X5;BMW;suv
Compass;Jeep;suv
Slingshot;Polaris;car
Cruze;Chevrolet;car
Wrangler Unlimited;Jeep;suv
300;Chrysler;car
Levante;Maserati;suv
