fuelType,rating,location.city,location.country,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
ELECTRIC,5,Seattle,US,WA,12847615,135,Tesla,Model X,suv,2019
ELECTRIC,5,Tijeras,US,NM,15621242,190,Tesla,Model X,suv,2018
HYBRID,4.92,Albuquerque,US,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,Albuquerque,US,NM,9365496,75,Ford,Mustang,car,2018
GASOLINE,5,Albuquerque,US,NM,3553565,47,Chrysler,Sebring,car,2010
GASOLINE,5,Albuquerque,US,NM,7815747,58,Mercedes-Benz,GL-Class,suv,2012
GASOLINE,4.42,Albuquerque,US,NM,3112016,42,GMC,Yukon XL,suv,2005
GASOLINE,4.9,Albuquerque,US,NM,9536762,117,Ford,Expedition,suv,2018
GASOLINE,5,Albuquerque,US,NM,14893743,102,Ford,Focus RS,car,2016
GASOLINE,4.76,Albuquerque,US,NM,11389136,49,Ford,EcoSport,suv,2018
GASOLINE,4.95,Albuquerque,US,NM,9365496,75,Ford,F-150,truck,2012
HYBRID,4.7,Albuquerque,US,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,Albuquerque,US,NM,9346980,88,Volkswagen,Tiguan,suv,2018
HYBRID,4.92,Albuquerque,US,NM,3070318,42,Toyota,Avalon Hybrid,car,2013
GASOLINE,4.88,Albuquerque,US,NM,3092621,42,Saab,9ÔÂ3ÈÕ,car,2011
GASOLINE,4.5,Albuquerque,US,NM,14428787,65,Ram,CV Tradesman,minivan,2014
GASOLINE,,Albuquerque,US,NM,1889102,42,Jeep,Cherokee,suv,2018
GASOLINE,5,Albuquerque,US,NM,3092621,116,Porsche,Cayman,car,2007
GASOLINE,4.67,Albuquerque,US,NM,4112693,119,Jeep,Wrangler JK,suv,2018
GASOLINE,5,Santa Fe,US,NM,1603416,80,Ford,Mustang,car,2019
GASOLINE,4.5,Albuquerque,US,NM,8860306,97,Ford,Explorer,suv,2012
GASOLINE,4.92,Albuquerque,US,NM,911080,41,Nissan,Rogue,suv,2016
ELECTRIC,5,Albuquerque,US,NM,1269071,171,Tesla,Model S,car,2015
GASOLINE,4.72,Santa Fe,US,NM,6744409,50,Dodge,Charger,car,2014
GASOLINE,4.85,Santa Fe,US,NM,1603416,49,Volkswagen,Jetta,car,2019
GASOLINE,4.82,Santa Fe,US,NM,6744409,39,Hyundai,Sonata,car,2016
GASOLINE,4.8,Rio Rancho,US,NM,293620,28,Chevrolet,Impala,car,2010
GASOLINE,5,Albuquerque,US,NM,2565503,32,Hyundai,Accent,car,2015
GASOLINE,5,Albuquerque,US,NM,2565503,28,Ford,Focus,car,2010
GASOLINE,,Grovetown,US,GA,14680097,125,GMC,Yukon XL,suv,2018
GASOLINE,5,Evans,US,GA,7697716,112,Toyota,Sequoia,suv,2016
GASOLINE,5,Augusta,US,GA,11515981,87,Mercedes-Benz,GLC-Class,suv,2016
,5,Augusta,US,GA,11515981,47,Ford,Fiesta,car,2019
GASOLINE,5,Augusta,US,GA,14931796,42,Dodge,Journey,suv,2019
HYBRID,5,Evans,US,GA,9709583,130,Lexus,ES 300h,car,2015
GASOLINE,5,Augusta,US,GA,15162374,115,Cadillac,ATS,car,2015
GASOLINE,4.5,Beech Island,US,SC,2842845,85,Lexus,IS 350,car,2015
GASOLINE,4.58,East Point,US,GA,7697843,24,smart,fortwo,car,2010
GASOLINE,5,Atlanta,US,GA,6025007,144,Land Rover,Range Rover,suv,2016
ELECTRIC,4.83,Doraville,US,GA,53029,146,Tesla,Model 3,car,2020
GASOLINE,4.94,East Point,US,GA,7868475,125,Porsche,718 Boxster,car,2017
GASOLINE,5,Grayson,US,GA,1295660,175,Mercedes-Benz,S-Class,car,2015
GASOLINE,5,Atlanta,US,GA,12796797,200,BMW,7 Series,car,2018
GASOLINE,4.93,Atlanta,US,GA,53029,98,Mercedes-benz,C-Class,car,2019
GASOLINE,,Tampa,US,FL,14752326,96,BMW,4 Series,car,2018
GASOLINE,4.89,Atlanta,US,GA,511103,150,Porsche,Panamera,car,2011
GASOLINE,4.85,Doraville,US,GA,53029,99,Mercedes-Benz,GLA-Class,suv,2017
GASOLINE,4.87,East Point,US,GA,7697843,42,Volkswagen,Jetta,car,2016
GASOLINE,4.89,Fairburn,US,GA,11311856,48,Acura,MDX,suv,2014
ELECTRIC,5,Atlanta,US,GA,2253859,134,Tesla,Model 3,car,2018
GASOLINE,4.96,Atlanta,US,GA,511103,155,Chevrolet,Corvette Stingray,car,2014
GASOLINE,4.97,Atlanta,US,GA,7982582,130,Audi,A8,car,2015
GASOLINE,4.99,College Park,US,GA,6025007,58,Nissan,Altima,car,2018
GASOLINE,4.96,Atlanta,US,GA,6025007,112,Audi,A7,car,2017
GASOLINE,5,Atlanta,US,GA,8752492,209,Audi,RS 7,car,2014
GASOLINE,5,Lawrenceville,US,GA,7952644,49,Dodge,Grand Caravan,minivan,2015
GASOLINE,5,Atlanta,US,GA,8752492,129,Jaguar,XJ,car,2016
ELECTRIC,4.88,Duluth,US,GA,8609349,159,Tesla,Model S,car,2018
GASOLINE,4.95,Douglasville,US,GA,3983888,84,Mercedes-Benz,C-Class,car,2015
GASOLINE,5,Atlanta,US,GA,511103,175,Chevrolet,Corvette,car,2017
GASOLINE,4.83,Atlanta,US,GA,499566,189,Mercedes-Benz,S-Class,car,2016
GASOLINE,4.92,Atlanta,US,GA,5878338,130,Chevrolet,Camaro,car,2017
GASOLINE,4.88,Atlanta,US,GA,499566,150,Land Rover,Range Rover Sport,suv,2014
GASOLINE,5,Atlanta,US,GA,10872556,125,Maserati,Quattroporte,car,2016
GASOLINE,4.84,Douglasville,US,GA,3983888,76,INFINITI,Q50,car,2018
GASOLINE,4.92,Atlanta,US,GA,10413163,147,Chevrolet,Corvette,car,2015
GASOLINE,5,Snellville,US,GA,11258220,160,Porsche,Boxster,car,2014
ELECTRIC,4.85,Decatur,US,GA,1661563,175,Tesla,Model 3,car,2019
DIESEL,4.97,East Point,US,GA,7868475,89,Porsche,Cayenne,suv,2014
GASOLINE,4.98,Atlanta,US,GA,511103,116,Ford,Mustang,car,2019
GASOLINE,5,Atlanta,US,GA,8752492,136,Land Rover,Range Rover Sport,suv,2016
GASOLINE,4.82,Douglasville,US,GA,3983888,56,Infiniti,EX35,suv,2008
GASOLINE,4.93,East Point,US,GA,7697843,64,INFINITI,Q50,car,2018
GASOLINE,4.95,East Point,US,GA,7868475,90,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.9,East Point,US,GA,7697843,55,Mazda,CX-5,suv,2018
GASOLINE,4.84,East Point,US,GA,7697843,29,smart,fortwo,car,2015
GASOLINE,5,Decatur,US,GA,15117491,78,BMW,Z4,car,2008
GASOLINE,4.89,Atlanta,US,GA,511103,102,Chevrolet,Camaro,car,2018
GASOLINE,4.93,Atlanta,US,GA,2052844,85,Land Rover,Range Rover Evoque,suv,2015
GASOLINE,5,Atlanta,US,GA,5513653,98,BMW,X4,suv,2018
GASOLINE,5,East Point,US,GA,7868475,90,Infiniti,QX60,suv,2015
ELECTRIC,5,Atlanta,US,GA,3991249,150,Tesla,Model 3,car,2020
GASOLINE,4.98,Atlanta,US,GA,499566,149,BMW,6 Series Gran Coupe,car,2013
GASOLINE,5,Atlanta,US,GA,1077705,195,BMW,M4,car,2015
GASOLINE,5,Alpharetta,US,GA,10851739,130,Mercedes-Benz,C-Class,car,2016
ELECTRIC,5,East Point,US,GA,1439133,209,Tesla,Model X,suv,2018
GASOLINE,4.94,Peachtree Corners,US,GA,6077494,123,Maserati,Ghibli,car,2015
GASOLINE,,Atlanta,US,GA,10696094,70,Mercedes-Benz,GLA-Class,suv,2015
GASOLINE,5,Atlanta,US,GA,7678058,250,Maserati,Ghibli,car,2015
GASOLINE,5,Atlanta,US,GA,12796797,120,Chevrolet,Camaro,car,2019
GASOLINE,5,Atlanta,US,GA,6580855,65,Mercedes-Benz,C-Class,car,2016
GASOLINE,5,Smyrna,US,GA,9971230,180,BMW,M4,car,2016
ELECTRIC,4.94,Atlanta,US,GA,4266637,156,Tesla,Model 3,car,2018
GASOLINE,5,Atlanta,US,GA,11968412,64,BMW,5 Series,car,2011
ELECTRIC,4.89,Atlanta,US,GA,4887223,245,Tesla,Model X,suv,2016
GASOLINE,4.93,Fairburn,US,GA,1428350,299,BMW,i8,car,2015
GASOLINE,5,Grayson,US,GA,1295660,98,Mercedes-Benz,E-Class,car,2017
GASOLINE,5,Atlanta,US,GA,9451897,140,Land Rover,Range Rover Sport,suv,2018
GASOLINE,5,Clarkston,US,GA,1879749,205,Chevrolet,Corvette,car,2016
GASOLINE,4.92,Atlanta,US,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,5,Atlanta,US,GA,1103338,300,Mercedes-Benz,AMG GT,car,2016
GASOLINE,4.94,Atlanta,US,GA,499566,99,Volkswagen,Arteon,car,2019
GASOLINE,4.97,Atlanta,US,GA,6580855,35,Ford,Fiesta,car,2015
GASOLINE,5,Atlanta,US,GA,10413163,135,Maserati,Ghibli,car,2015
GASOLINE,4.89,Atlanta,US,GA,12796797,150,BMW,X6,suv,2018
GASOLINE,4.9,Smyrna,US,GA,11312622,90,Mercedes-Benz,SLK-Class,car,2013
ELECTRIC,,Atlanta,US,GA,1523445,138,Tesla,Model 3,car,2020
GASOLINE,4.86,Atlanta,US,GA,15406472,150,Land Rover,Range Rover Velar,suv,2019
GASOLINE,4.91,Atlanta,US,GA,464263,385,Bentley,Continental GT,car,2005
GASOLINE,5,Atlanta,US,GA,1846481,250,Porsche,Panamera,car,2018
ELECTRIC,5,Atlanta,US,GA,2312511,150,Tesla,Model X,suv,2016
HYBRID,5,Snellville,US,GA,11258220,202,Porsche,Cayenne,suv,2017
GASOLINE,,Marietta,US,GA,735348,135,Porsche,718 Cayman,car,2017
ELECTRIC,5,Alpharetta,US,GA,11216559,151,Tesla,Model 3,car,2019
GASOLINE,4.82,Atlanta,US,GA,511103,110,Porsche,Cayenne,suv,2011
GASOLINE,5,Kennesaw,US,GA,15256714,300,Jaguar,F-TYPE,car,2016
GASOLINE,4.73,Atlanta,US,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,4.96,Atlanta,US,GA,511103,95,Chevrolet,Camaro,car,2016
GASOLINE,5,Snellville,US,GA,11258220,150,Audi,TTS,car,2017
GASOLINE,5,Kennesaw,US,GA,1140700,60,BMW,X4,suv,2017
GASOLINE,4.85,Atlanta,US,GA,511103,129,Dodge,Charger,car,2017
GASOLINE,,Fairburn,US,GA,1278682,82,Mercedes-Benz,C-Class,car,2016
GASOLINE,,Atlanta,US,GA,15071013,105,GMC,Yukon,suv,2019
ELECTRIC,5,Atlanta,US,GA,9326905,147,Tesla,Model 3,car,2019
GASOLINE,4.85,Atlanta,US,GA,3792936,122,Chevrolet,Suburban,suv,2011
